ÿÜbersicht über die Schätzung
Vorabkosten,Monatliche Kosten,Total 12 months cost,Währung
3.28,19085,229023.28,USD
,,* Einschließlich Vorabkosten


Detaillierte Schätzung
Gruppenhierarchie,Region,Beschreibung,Service,Vorauszahlung,Monatlich,First 12 months total,Währung,Status,Konfigurationsübersicht
My Estimate,USA Ost (Nord-Virginia),,VPN Connection,0,4692,56304.00,USD,,"Werktage pro Monat (22), Anzahl der Site-to-Site VPN-Verbindungen (), Anzahl der Subnetzzuordnungen (4)"
My Estimate,USA Ost (Nord-Virginia),,Network Address Translation (NAT) Gateway,0,954.45,11453.40,USD,,Anzahl der NAT-Gateways (1)
My Estimate,USA Ost (Nord-Virginia),,Gateway Load Balancer,0,235.37,2824.44,USD,,"Anzahl der Availability Zones, in denen der Gateway Load Balancer bereitgestellt wird (2), Anzahl der Gateway-Load-Balancer-Endpunkte (4), Insgesamt verarbeitete Bytes (10 TB pro Monat), Durchschnittliche Anzahl der neuen Verbindungen/Datenflüsse (1250 pro Sekunde), Durchschnittliche Verbindungs-/Datenflussdauer (2500 Sekunden)"
My Estimate,USA Ost (Nord-Virginia),,Amazon CloudFront,0,962.76,11553.12,USD,,"Datenübertragung ins Internet (200 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (200 GB pro Monat), Anzahl der Anforderungen (HTTPS) (200 Millionen pro Monat), Datenübertragung ins Internet (200 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (200 GB pro Monat), Anzahl der Anforderungen (HTTPS) (100 Millionen pro Monat), Datenübertragung ins Internet (20 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (200 GB pro Monat), Anzahl der Anforderungen (HTTPS) (100 Millionen pro Monat), Datenübertragung ins Internet (20 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (20 GB pro Monat), Anzahl der Anforderungen (HTTPS) (10 Millionen pro Monat), Datenübertragung ins Internet (20 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (20 GB pro Monat), Anzahl der Anforderungen (HTTPS) (10 Millionen pro Monat), Datenübertragung ins Internet (20 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (20 GB pro Monat), Anzahl der Anforderungen (HTTPS) (10 Millionen pro Monat), Datenübertragung ins Internet (200 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (200 GB pro Monat), Anzahl der Anforderungen (HTTPS) (100 Millionen pro Monat), Datenübertragung ins Internet (20 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (20 GB pro Monat), Anzahl der Anforderungen (HTTPS) (10 pro Monat), Datenübertragung ins Internet (200 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (200 GB pro Monat), Anzahl der Anforderungen (HTTPS) (100 Millionen pro Monat), Datenübertragung ins Internet (20 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (20 GB pro Monat), Anzahl der Anforderungen (HTTPS) (10 pro Monat)"
My Estimate,USA Ost (Nord-Virginia),,S3 Standard,3.2768,303.34,3643.36,USD,,"S3-Standardspeicher (5 TB pro Monat), S3 Standard  Durchschnittliche Objektgröße (1024 MB), PUT-, COPY-, POST-, LIST-Anfragen an S3 Standard (20000000), GET, SELECT und alle anderen Anforderungen von S3 Standard (200000000), Von S3 Select zurückgegebene Daten (5 TB pro Monat), Von S3 Select gescannte Daten (1000 GB pro Monat)"
My Estimate,USA Ost (Nord-Virginia),,Data Transfer,0,92.16,1105.92,USD,,"DT Eingehend: Internet (10 TB pro Monat), DT Ausgehend: Internet (1 TB pro Monat)"
My Estimate,USA Ost (Nord-Virginia),,Amazon EC2 ,0,831.84,9982.08,USD,,"Tenancy (Gemeinsame Instances), Betriebssystem (Linux), Workload (Consistent, Anzahl der Instances: 4), Erweiterte EC2-Instance (m5.2xlarge), Pricing strategy ( 1yr  No Upfront), Überwachung aktivieren (aktiviert), DT Eingehend: Not selected (0 TB pro Monat), DT Ausgehend: Not selected (0 TB pro Monat), DT Intraregional: (0 TB pro Monat)"
My Estimate,USA Ost (Nord-Virginia),,Amazon API Gateway,0,203.5,2442.00,USD,,"REST-API-Anforderungseinheiten (Millionen), Cache-Speichergröße (GB) (Keine), WebSocket-Nachrichteneinheiten (Tausende), HTTP-API-Anforderungseinheiten (Millionen), Durchschnittliche Größe jeder Anforderung (1024 KB), Anforderungen (100 pro Monat), Durchschnittliche Nachrichtengröße (32 KB), Anforderungen (1 pro Monat), Nachrichten (0 pro Sekunde)"
My Estimate,USA Ost (Nord-Virginia),,Amazon RDS for MySQL,0,8210.560000000001,98526.72,USD,,"Speicher für jede RDS-Instance (Allzweck-SSD (gp2)), Speichermenge (4 TB), Anzahl (4), Instance-Typ (db.m5.2xlarge), Auslastung (nur On-Demand) (100 %Utilized/Month), Bereitstellungsoption (Multi-AZ), Preismodell (OnDemand), Zusätzlicher Backup-Speicher (1 TB)"
My Estimate,USA Ost (Nord-Virginia),,AWS Lambda,0,2599.02,31188.24,USD,,"Aufrufmodus (Antwort-Stream), Architektur (Arm), Architektur (Arm), Gleichzeitigkeit (50000), Zeit, für die bereitgestellte Gleichzeitigkeit aktiviert ist (1 Stunden), Anzahl der Anforderungen (200000000 pro Monat), Anzahl der Anforderungen für bereitgestellte Gleichzeitigkeit (50000 pro Monat), Menge des flüchtigen zugewiesenen Speichers (3 GB), Anzahl der Aufrufe (10000000 pro Monat), Durchschnittliche Größe der Antwort-Payload (25 MB)"
